"Qualification","Quali"
"MBBS",3
"MD - Dermatology , Venereology & Leprosy, MBBS",4
"MD - Dermatology, MBBS, DNB - Dermatology & Venereology",4
"BAMS, MD - Ayurveda Medicine",4
"BHMS",3
"MBBS, DDV",3
"MS - ENT, MBBS",4
"MBBS, MS - ENT",4
"MS - Otorhinolaryngology, MBBS, FICS",4
"BDS",3
"MBBS, MS - Otorhinolaryngology, Fellowship In Pediatric Otolaryngology",4
"BHMS, MD - Homeopathy",4
"BAMS",3
"BHMS, MD - Homeopathy, Master of Hospital Administration",4
"MBBS, Diploma in Otorhinolaryngology (DLO)",3
"MBBS, MD - Dermatology",4
"MDS - Prosthodontics",4
"BDS",3
"BHMS",3
"BDS",3
"MDS - Conservative Dentistry & Endodontics, BDS",4
"BDS",3
"MDS - Conservative Dentistry & Endodontics, BDS",4
"BDS",3
"MBBS, Diploma in Otorhinolaryngology (DLO), MS - Otorhinolaryngology",4
"MBBS, MD - General Medicine",4
"BDS",3
"BDS, PhD - Orthodontics & Dentofacial Orthopaedics",5
"MBBS, PG in Diabetology, Fellowship in Diabetology(The University of Liverpool, UK)",4
"MBBS, MD - Dermatology , Venereology & Leprosy, DNB - Dermatology & Venereology",4
"MBBS, MS - ENT",4
"BDS",3
"BDS, MDS- Oral Pathology",4
"MBBS, MD - General Medicine",4
"MBBS, MD - General Medicine, DPM (Psychiatry), Diploma in Industrial Hygiene",4
"BHMS",3
"BDS, Diploma in Educational Psychology",3
"BHMS, MD - Homeopathy, Certificate in Food and Nutrition",4
"MBBS, Diploma in Clinical Dermatology (UK)",3
"BHMS",3
"MBBS, MD - General Medicine",4
"MBBS, MS - ENT",4
"MBBS, F.S.R.H",3
"MBBS, MD - Dermatology, DDVL",4
"MBBS, DDVL",3
"BDS, Fellowship in Oral implantlogy",3
"MBBS, MD - General Medicine, FCPS - Medicine",4
"DDV, MBBS",3
"DDVL, MBBS",3
"MBBS, DNB - Nephrology, MD - Nephrology",4
"BAMS, MS - General Surgery",4
"MBBS, Diploma in Dermatology",3
"MBBS, MS - General Surgery, MCh - Surgical Oncology",4
"BAMS",3
"BDS",3
"BHMS, MD - Alternate Medicine",4
"MBBS, MS - ENT, DNB - ENT, Diploma in Otorhinolaryngology (DLO), MAMS",4
"MS - Ayurveda, Diploma in Gynaecology & Obstetrics, Diploma in Aesthetic Medicine",4
"MD - General Medicine, MBBS",4
"MBBS",3
"MBBS, MD - General Medicine",4
"MBBS, MD - Dermatology, DNB",4
"MDS - Orthodontics, Basic Life Support (BLS), BDS",4
"BDS, Post Graduate Certificate in Endodontics (PGCE)",4
"MD - Dermatology, MBBS",4
"BDS, MDS - Pedodontics",4
"BDS, MDS - Orthodontics",4
"MBBS, MD - Dermatology, Fellow of the American Academy of Dermatology (FAAD)",4
"BHMS",3
"MBBS, MS - ENT",4
"Get inspired by remarkable stories of people like you",0
"MDS - Periodontology and Oral Implantology, BDS",4
"BHMS",3
"BHMS, MD - Homeopathy",4
"BHMS",3
"BHMS, Certificate Course in Advanced Homoeopathy (C.C.A.H)",3
"MBBS, DDV, DNB - Dermatology & Venereology",3
"BAMS, MD - Ayurveda Medicine",4
"MDS - Prosthodontics, BDS",4
"MBBS, Post Graduate Diploma in Diabetology (PGDD)",4
"MD - Ayurveda Medicine, BAMS",4
"MBBS, MRCPCH (UK)",4
"MBBS, DVD",3
"MBBS, DGO",3
"MBBS, MD - Dermatology, DNB - Dermatology & Venereology, FCPS - Dermatology, Venereology & Leprosy",4
"MS - Otorhinolaryngology, MBBS",4
"BAMS",3
"BDS, MBBS",3
"BDS, PhD - Orthodontics & Dentofacial Orthopaedics, MDS - Oral & Maxillofacial Surgery",5
"BAMS, MD - Ayurveda Medicine",4
"MBBS, MD - Dermatology, DVD",4
"MBBS, Diploma in Otorhinolaryngology (DLO), MS - ENT",4
"BDS, MDS - Prosthodontist & Oral Implantologist, FICOI",4
"MBBS, MD - General Medicine",4
"BHMS",3
"BHMS",3
"MBBS",3
"MBBS, MS - ENT",4
"BHMS",3
"MBBS, DDVL",3
"MBBS",3
"BHMS, MD - Homeopathy",4
"MBBS",3
"BDS",3
"BHMS",3
"BHMS, MD - Homeopathy",4
"MBBS, MS - ENT",4
"BDS",3
"MBBS, MS - ENT, Diploma in Otorhinolaryngology (DLO)",4
"BHMS",3
"MD - Homeopathy, BHMS",4
"BDS",3
"BHMS",3
"BAMS",3
"MBBS, MD - Dermatology",4
"MBBS, Diploma in Otorhinolaryngology (DLO)",3
"MBBS, MD - Internal Medicine",4
"BHMS, MBA (HCS)",4
"MBBS, MD - Dermatology , Venereology & Leprosy, FRGUHS",4
"BDS",3
"MDS - Prosthodontist And Crown Bridge, BDS",4
"MDS - Paedodontics And Preventive Dentistry, BDS",4
"BAMS",3
"BHMS, MD - Homeopathy",4
"BHMS",3
"BDS",3
"BAMS",3
"MBBS, MD - General Medicine, FCCM",4
"BHMS",3
"MBBS, Diploma in Child Health (DCH)",3
"MBBS",3
"BHMS, MD - Medicine",4
"BDS, MDS - Orthodontics and Dentofacial Orthopaedics",4
"BHMS, MD - Homeo Organon",4
"BHMS",3
"MBBS, MS - ENT",4
"BDS, Fellow of Academy of General Education (FAGE), MDS",4
"BAMS",3
"BDS, MFGDP - Membership of the Faculty of General Dental Practitioners, Membership of the Faculty of Dental Surgeons(MFDS)",4
"BHMS",3
"BDS, MDS - Prosthodontist And Crown Bridge",4
"BAMS, MD - Alternate Medicine, MS - Ayurveda",4
"BDS",3
"BDS, MDS - Prosthodontist And Crown Bridge",4
"MBBS, DGO",3
"MBBS, MD - General Medicine",4
"MDS - Periodontics",4
"BAMS",3
"BHMS",3
"BDS, Certificate in Dental Implants, Certificate of Oral Implantology, Certification in Aesthetic Dentistry",3
"MDS - Orthodontics, Invisalign Training Course, BDS",4
"MBBS, MS - General Surgery, MCh - Urology",4
"MBBS, Diploma in Otorhinolaryngology (DLO), DNB - ENT",3
"MBBS, MS - ENT, MCh - Head and Neck Oncology",4
"BDS, Certificate in Dental Implants, Certification in Laser Dentistry",3
"MBBS, MD - Dermatology , Venereology & Leprosy",4
"MBBS, DDVL, DNB - Dermatology & Venereology",3
"BHMS",3
"MBBS, DDVL",3
"MD - Pulmonary Medicine, MD - General Medicine, DNB - Respiratory Diseases, Diploma in Tuberculosis and Chest Diseases (DTCD), MBBS",4
"BAMS",3
"BHMS, Fellowship in Applied Nutrition(FAN)",3
"DNB - Dermatology & Venereology, MBBS, DDV, DDVL",3
"BDS, PhD - Orthodontics & Dentofacial Orthopaedics",5
"BDS, MDS - Oral & Maxillofacial Surgery, Certificate of Oral Implantology, Post-Graduate Certificate in Oral Implantology (PGCOI)",4
"MBBS, MD - Dermatology",4
"BAMS",3
"BDS",3
"MBBS, MD - Dermatology, DNB, DDVL",4
"MBBS, MD - Medicine",4
"MBBS",3
"BHMS",3
"BIMS",3
"MBBS, DNB - General Medicine",3
"BDS, MDS",4
"MBBS, DLO, MS - Otorhinolaryngology, DNB - ENT",4
"MBBS, Diploma in Otorhinolaryngology (DLO), DNB - ENT",3
"MBBS, MD - Medicine",4
"MD - General Medicine, BHMS",4
"BHMS, MD - Homeopathy",4
"BDS, MDS - Periodontology and Oral Implantology",4
"BDS, MDS",4
"BHMS",3
"BHMS",3
"MBBS, DDVL",3
"MBBS, MD - Dermatology , Venereology & Leprosy",4
"MBBS, MD - General Medicine",4
"MBBS",3
"BHMS",3
"MD - Ayurveda Medicine, BAMS",4
"MBBS, DNB - Ophthalmology",3
"BHMS, MD - Homeopathy",4
"MBBS, MS - ENT, DLO",4
"MBBS, DDV",3
"MBBS, MS - ENT",4
"MBBS, MS - ENT",4
"MBBS, Diploma in Otorhinolaryngology (DLO), MS - ENT",4
"MBBS, MD - Dermatology, Fellowship in Aesthetic Medicine",4
"BAMS, Diploma in Hospital Management",3
"Get inspired by remarkable stories of people like you",0
"BDS, MDS - Public Health Dentistry",4
"MD - Homeopathy",4
"MBBS, MD - Dermatology , Venereology & Leprosy",4
"MDS - Oral & Maxillofacial Surgery, BDS",4
"MBBS, Diploma in Otorhinolaryngology (DLO), DNB",3
"MBBS",3
"MD - Homeopathy, BHMS",4
"MBBS, MD - General Medicine, MCPS, FCPS - Medicine",4
"BHMS, Certificate in Sports Nutrition, Fellowship in Cardiac Rehabilitation",3
"BDS, MDS - Paedodontics And Preventive Dentistry, FAGE",4
"BHMS",3
"MBBS, Post Graduate Diploma in Medical Cosmetology (PGDMC), Diploma in Practical Dermatology",4
"MBBS",3
"BDS, MDS - Prosthodontist And Crown Bridge",4
"BAMS, Diploma in Acupuncture",3
"MBBS, Diploma in Dermatology",3
"MBBS, MS - General Surgery",4
"BHMS",3
"MBBS, BHMS",3
"MBBS, Diploma in Otorhinolaryngology (DLO)",3
"BHMS",3
"MDS - Orthodontics",4
"MBBS, MS - Otorhinolaryngology, Diploma in Otorhinolaryngology (DLO)",4
"BDS, MDS - Orthodontics",4
"BAMS",3
"BAMS, MD - Ayurvedic Pharmacology, Advance Diploma in Nutrition and Dietetics",4
"MBBS, MS - ENT, Certificate in Pediatric Otolaryngology - Head and Neck Surgery, ECFMG (USA)",4
"MDS - Oral & Maxillofacial Surgery, BDS",4
"BAMS",3
"MBBS, MF- Homeopathy, Fellowship in Diabetology, Fellowship of College of General Practice (FCGP)",4
"MDS - Pedodontics, BDS",4
"BHMS",3
"BHMS",3
"MS - ENT, Diploma in Otorhinolaryngology (DLO), MBBS",4
"MD - Homeopathy",4
"BDS",3
"BHMS",3
"Diploma in Trichology - Cosmetology, Diploma in Aesthetic Dermatology, MD - Alternate Medicine, BAMS, Diploma in Hair Restoration Surgery",4
"MD - Dermatology , Venereology & Leprosy, MBBS",4
"MBBS, Diploma in Dermatology, MD - Infectious Diseases",4
"MBBS",3
"MBBS, MS - ENT, DNB - ENT",4
"BDS, MDS - Oral Medicine and Radiology",4
"MBBS, Diploma in Otorhinolaryngology (DLO)",3
"MBBS, DDVL, Fellowship in Aesthetic Medicine",3
"MBBS, Diploma in Dermatology, MD - Dermatology",4
"MBBS",3
"BAMS, MD - Ayurveda Medicine",4
"BHMS",3
"BHMS, MD - Homeopathy",4
"MBBS, MS - ENT",4
"MD - Dermatology , Venereology & Leprosy, MBBS",4
"BDS, MDS - Oral & Maxillofacial Surgery, Certificate of Oral Implantology, Diploma in Hospital Administration, Diplomate in Oral Implantology",4
"BDS, PhD - Orthodontics & Dentofacial Orthopaedics",5
"BHMS, Certificate in Child Health (CCH), CGO",3
"MDS - Conservative Dentistry & Endodontics, BDS",4
"MBBS, MD - General Medicine",4
"MBBS",3
"DNB - ENT, MBBS",3
"MBBS, DNB - Dermatology & Venereology",3
"MBBS, MS - Ophthalmology",4
"BHMS",3
"BDS",3
"BDS",3
"BHMS, Diploma in Naturopathy & Yoga (NDDY)",3
"MBBS, MS - ENT",4
"MBBS, MD - General Medicine",4
"BDS, MDS - Oral & Maxillofacial Surgery",4
"MBBS, MD - General Medicine",4
"BHMS, Diploma in Acupuncture",3
"MBBS, MS - ENT",4
"MD - Ayurveda Medicine, BAMS, Diploma in Family Medicine (DFM)",4
"BDS",3
"BDS",3
"BDS",3
"MBBS, DNB - Otorhinolaryngology",3
"MBBS",3
"BHMS",3
"MS - Otorhinolaryngology, MBBS",4
"MBBS",3
"MBBS, DNB - Family Medicine",3
"BAMS",3
"BAMS",3
"BDS, MDS - Conservative Dentistry & Endodontics",4
"BDS",3
"BHMS, MD - Homeopathy",4
"MBBS, MD - General Medicine",4
"BDS, MDS - Conservative Dentistry & Endodontics",4
"BAMS",3
"MBBS, MD - General Medicine",4
"BHMS",3
"MBBS, DDV",3
"BAMS",3
"BDS",3
"BHMS, MD - Homeopathy",4
"MBBS, Diploma in Otorhinolaryngology (DLO), FCPS - Oto-Rhino-Laryngology, DNB - Otorhinolaryngology",3
"MDS - Prosthodontist And Crown Bridge, BDS",4
"BAMS",3
"BDS, MDS - Conservative Dentistry & Endodontics",4
"BAMS",3
"MBBS, MS - General Surgery, FRCS - General Surgery",4
"MBBS, Postgraduate Diploma Clinical Cardiology (PGDCC)",4
"BDS, MDS - Orthodontics",4
"MBBS, MD - Dermatology , Venereology & Leprosy",4
"MBBS",3
"BAMS",3
"BAMS, MD - Ayurveda Medicine",4
"BAMS",3
"BDS",3
"BDS, MDS - Oral & Maxillofacial Surgery",4
"MBBS, MD - Dermatology , Venereology & Leprosy",4
"BAMS",3
"BDS",3
"MBBS, Post Graduate Diploma in Diabetology (PGDD), Fellowship in Diabetology",4
"BDS",3
"MBBS, MD - Pulmonary Medicine",4
"MS - ENT",4
"BHMS",3
"MBBS, MD - General Medicine, Diploma in Diabetology",4
"BDS",3
"MDS - Oral & Maxillofacial Surgery, BDS",4
"MBBS, MS - ENT",4
"BDS, MDS - Prosthodontist And Crown Bridge",4
"BDS",3
"MDS - Orthodontics, BDS",4
"MBBS, MD - Dermatology",4
"MBBS, MD - Dermatology",4
"MBBS, Diploma in Otorhinolaryngology (DLO), DNB - ENT",3
"MS - ENT, MBBS",4
"BDS, MDS - Periodontology and Oral Implantology",4
"MBBS, DDVL",3
"MBBS, DDVL",3
"BDS, MDS - Conservative Dentistry & Endodontics, Certificate Course of One Year in Dental Implants, Certificate Course in Advance Implantology",4
"BAMS",3
"BDS",3
"MBBS, DDV",3
"MD - Homeopathy, BHMS",4
"MBBS, Diploma in Otorhinolaryngology (DLO)",3
"MBBS, MS - ENT",4
"MBBS, MD - Dermatology",4
"BHMS",3
"MBBS, MD - Dermatology",4
"MBBS, MD - General Medicine, Fellowship in Non-Invasive Cardiology (FIC), Certificate Course in Evidence Based Diabetes Management (CCEBDM), Certificate Course in Gestational Diabetes (CCGDM)",4
"BDS, MDS, MDS - Conservative Dentistry & Endodontics",4
"MBBS, MD - Dermatology , Venereology & Leprosy",4
"MBBS, MD - Internal Medicine",4
"MBBS, MS - General Surgery",4
"BDS, MDS - Conservative Dentistry & Endodontics",4
"BAMS, MD - Ayurveda Medicine",4
"MBBS, MD - Physical Medicine & Rehabilitation, Diploma in Physical Medicine & Rehabilitation",4
"MBBS, MD - General Medicine, CCEBDM, Fellowship in Diabetology",4
"BDS, MDS - Oral Medicine and Radiology",4
"MD - Dermatology , Venereology & Leprosy, DNB, MBBS",4
"BHMS",3
"MBBS, MD - Medicine",4
"MRCPS, Post Graduate Diploma in Endocrinology, MBBS, Fellowship in Diabetology & Endocrinology, Fellowship in Diabetology, CCT - Endocrinology and Diabetes Mellitus",4
"BHMS",3
"BHMS",3
"BDS, Certification in Laser Dentistry, Certificate in Dental Implants, Certified Sinus lift surgeon",3
"MBBS, MD - Dermatology",4
"BHMS, Certificate in Food and Nutrition, Diploma in Skin Polishing Technology, Diploma in Slimming & Laser Treatments , Certificate in Clinical Cosmetology",3
"MBBS, MD - General Medicine",4
"BDS, PCAD (USA)",4
"DNB - Dermatology & Venereology, MBBS",3
"MBBS, MD - Dermatology",4
"BAMS, MD - Ayurveda Medicine",4
"MBBS",3
"BHMS",3
"MBBS, MD - Dermatology",4
"BHMS",3
"BHMS, MD - Paediatrics",4
"MDS - Conservative Dentistry & Endodontics, BDS",4
"MD - Dermatology , Venereology & Leprosy, MBBS",4
"BDS",3
"BDS, MDS - Prosthodontist And Crown Bridge, Fellow of International Congress of Oral Implantologist",4
"BHMS",3
"MBBS, DNB - Otorhinolaryngology",3
"BDS, MDS - Orthodontics and Dentofacial Orthopaedics",4
"BAMS",3
"BDS",3
"MDS- Oral Pathology, BDS",4
"MBBS, MD - General Medicine",4
"MBBS, MD - Dermatology , Venereology & Leprosy",4
"MS - ENT, Diploma in ENT, MBBS",4
"BAMS, MD - Acupressure",4
"BDS, MDS - Periodontics, Certificate Course in Implantology",4
"MBBS, MD - Internal Medicine",4
"BDS",3
"BHMS",3
"Get inspired by remarkable stories of people like you",0
"MBBS, MD - Internal Medicine",4
"MBBS, MD - General Medicine",4
"DHMS (Diploma in Homeopathic Medicine and Surgery)",1
"BDS, MDS - Orthodontics, Diploma in Implanthology",4
"MBBS, MD - Dermatology, DDV",4
"MBBS, MS - ENT",4
"MBBS, DNB - ENT, MBBS, DNB - ENT",3
"MBBS, MS - Otorhinolaryngology, DNB - Otorhinolaryngology",4
"MBBS, MD - Dermatology, DNB - Dermatology & Venereology",4
"BDS, MBA (Health Care), Diploma in Health Administration",4
"BAMS",3
"BDS",3
"DNB - ENT, MBBS",3
"BAMS",3
"MBBS, MD - General Medicine",4
"MBBS, MD - Dermatology , Venereology & Leprosy",4
"MBBS, MD - Dermatology, Fellowship In Cosmetic Dermatology",4
"BDS",3
"BHMS",3
"MBBS, MS - ENT",4
"BHMS",3
"MBBS, MS - ENT",4
"MBBS, MS - ENT",4
"BDS, MDS - Prosthodontics",4
"Get inspired by remarkable stories of people like you",0
"MS - Ayurveda, BAMS",4
"MD - Ayurveda Medicine, PhD - Diabetes",5
"BHMS, MD - Homeopathy",4
"BHMS, MD - Homeopathy",4
"FCPS - Dermatology, Venereology & Leprosy, MBBS",3
"MDS - Conservative Dentistry & Endodontics, BDS",4
"MBBS, MD - Dermatology , Venereology & Leprosy, Fellowship in Medical Cosmetology",4
"MD - Dermatology , Venereology & Leprosy",4
"BDS",3
"MDS - Oral & Maxillofacial Surgery, BDS",4
"MBBS, DDV, DNB - Dermatology & Venereology",3
"MBBS",3
"MBBS, MD - Dermatology",4
"MBBS, DNB - ENT",3
"BAMS",3
"DNB - ENT, MBBS",3
"MBBS, DDVL",3
"MD - General Medicine, MBBS",4
"MBBS, MS - ENT",4
"DVD, MD - Medicine",4
"BDS",3
"BHMS",3
"BHMS, Certificate Course in Advanced Homoeopathy (C.C.A.H)",3
"MD - Dermatology , Venereology & Leprosy, MBBS",4
"MDS - Paedodontics And Preventive Dentistry",4
"MBBS, DDVL",3
"BHMS",3
"BDS, Diploma in Cosmetic Dentistry",3
"MD - Dermatology, DNB, MBBS",4
"BAMS, B.Sc",3
"MBBS",3
"BAMS, MS - Counselling and Psychotherapy",4
"MBBS, MD - Dermatology",4
"BAMS",3
"MBBS",3
"MBBS, MD - General Medicine",4
"BHMS",3
"BHMS",3
"BDS, MDS-Oral Pathology and Oral Microbiology",4
"MBBS, MS - ENT",4
"BHMS",3
"MD - Dermatology , Venereology & Leprosy, MBBS",4
"MDS - Periodontology and Oral Implantology, BDS",4
"MDS - Prosthodontics, BDS",4
"MBBS, DDV",3
"BAMS",3
"Certificate in Dental Implants, BDS",3
"MBBS",3
"BDS, MDS - Prosthodontics",4
"MBBS",3
"BHMS, MD - Homeopathy",4
"BHMS",3
"BDS",3
"MBBS",3
"MBBS, DDV, FICD",3
"BAMS",3
"MS - Ayurveda",4
"BDS, MDS - Periodontology and Oral Implantology",4
"BDS",3
"MBBS, DDVL",3
"BDS, MDS - Conservative Dentistry & Endodontics",4
"BDS, MDS - Paedodontics And Preventive Dentistry",4
"MBBS, Diploma in Dermatology",3
"MBBS, MD - Medicine",4
"MDS - Prosthodontics, BDS",4
"MBBS, MS - Otorhinolaryngology",4
"MBBS",3
"BDS",3
"MBBS, DDVL, DNB - Dermatology & Venereology",3
"MBBS, MS - ENT, MCh - Head and Neck Oncology",4
"BAMS",3
"MD - Dermatology , Venereology & Leprosy, MBBS",4
"MBBS, FRCS - Otolaryngology, FRCS - Otolaryngology, FRCS - Otolaryngology",3
"MBBS, MD - Dermatology , Venereology & Leprosy",4
"BAMS",3
"MS - Otorhinolaryngology",4
"BDS",3
"BHMS",3
"MBBS, Diploma in Dermatology, MD - Dermatology",4
"MBBS, PGDHA",4
"BDS, MDS - Orthodontics, MPH",4
"MBBS, Diploma in Dermatology",3
"MBBS, MD - Dermatology",4
"MD - Skin & VD, MBBS, DNB - Dermatology, Venereology & Leprosy",4
"BAMS",3
"MD - Dermatology , Venereology & Leprosy, MBBS",4
"BDS, Post-Graduate Certificate in Oral Implantology (PGCOI)",4
"MBBS, MD - General Medicine, DNB - Cardiology",4
"BHMS",3
"MDS - Orthodontics and Dentofacial Orthopaedics",4
"MD - Dermatology , Venereology & Leprosy, MBBS",4
"BAMS",3
"BDS",3
"MBBS, MS - ENT",4
"BAMS, MD - Ayurveda Medicine, Post Graduate Diploma In Yoga",4
"MBBS, MD - Medicine",4
"MBBS, MD - Dermatology",4
"BHMS, MD - Homeopathy",4
"BDS",3
"BAMS",3
"BDS, Certification in Full Mouth Rehabilitation",3
"MD - Skin,VD & Leprosy, DDV, MBBS",4
"MBBS, Distance Fellowship in Diabetes Management, Certificate Course in Gestational Diabetes (CCGDM)",3
"BDS, MDS - Periodontics, MBA - Healthcare Services",4
"MBBS, MD - Dermatology",4
"MBBS, Fellowship of College of General Practice (FCGP), FAMS - Fellowship of the Academy Medicine",3
"BDS",3
"MBBS, MD - Dermatology",4
"MD - General Medicine, MBBS",4
"MBBS, Post Graduate Diploma in Diabetology (PGDD)(Johns Hopkins University School of Medicine, USA), MD - General Medicine, Fellowship in Diabetology(Johns Hopkins University School of Medicine, USA)",4
"MBBS, MD - Pediatrics",4
"BHMS",3
"BDS, DMD - Doctor of Dental Medicine",4
"BAMS",3
"MBBS, MD - Internal Medicine, DM - Cardiology",4
"MBBS",3
"MBBS, MS - ENT",4
"BHMS",3
"MBBS, Diploma in Family Medicine (DFM), Certificate Course in Gestational Diabetes (CCGDM), CCEDM, Post Graduate Diploma in Diabetology (PGDD)(Cardiff University,UK), ACDMC, CCMTD",4
"BAMS",3
"BAMS",3
"BHMS, Diploma in Acupressure Therapy",3
"BDS, MDS - Conservative Dentistry & Endodontics",4
"MBBS, MD - Dermatology",4
"MS - ENT",4
"MBBS, MS - ENT",4
"BDS, MDS",4
"BDS, MDS - Oral & Maxillofacial Surgery",4
"BAMS",3
"BAMS",3
"MBBS, DDV",3
"BDS",3
"BHMS",3
"MBBS, Diploma in Tuberculosis and Chest Diseases (DTCD)",3
"BAMS, MD - Ayurveda Medicine, BSAM",4
"BDS, Post Graduate Certificate in Endodontics (PGCE)",4
"MBBS, MD - General Medicine, Post Graduate Diploma in Diabetology (PGDD), Fellowship in Non-Invasive Cardiology (FIC), Advanced Certificate Course In Diabetes, Advanced Certificate Course In Diabetes, Advanced Certification in Clinical Diabetology, Post graduate certificate In sports Medicine, Clinical Cardiology Certification",4
"BDS",3
"BDS, MDS - Conservative Dentistry & Endodontics, FDS Surgical Oral Oncology",4
"BDS, MDS",4
"MD - Dermatology , Venereology & Leprosy, MBBS",4
"MBBS, DVD",3
"BAMS",3
"MBBS, FCPS - Dermatology, Venereology & Leprosy",3
"BAMS",3
"BHMS",3
"MDS - Prosthodontics, Certified BPS Dentist, BDS",4
"MBBS",3
"MBBS, MD - Dermatology",4
"MBBS, MD - Dermatology",4
"MBBS, Post Graduate Diploma in Diabetology (PGDD), Diploma in Ultra Sonology",4
"BHMS",3
"BDS, MDS - Prosthodontics",4
"BHMS, MD - Homeopathy",4
"BHMS, MD (HOM) - Paeditrics",4
"MBBS, Diploma in Dermatology, MD - Dermatology",4
"BHMS, MD - Homeopathy",4
"MBBS, MS - ENT, DNB - Otorhinolaryngology, Clinical Fellowship in Rhinology",4
"MD - Anatomy, MBBS",4
"BAMS, MD - Ayurveda Medicine",4
"MBBS, MD - General Medicine",4
"MBBS, DLO, DNB - ENT",3
"BHMS",3
"MBBS",3
"MBBS, MD - General Medicine",4
"MBBS, MS - ENT",4
"MBBS, MD - Ophthalmology",4
"MBBS, DNB - General Medicine, Post Graduate Diploma in Diabetology (PGDD)",4
"MD - Ayurveda Medicine, Diploma In Naturopathy (ND)",4
"BDS, MDS - Oral Pathalogy & Microbiology",4
"MBBS",3
"MBBS, MD - Dermatology , Venereology & Leprosy",4
"BAMS",3
"BAMS, MSc - Yoga",4
"BAMS",3
"BHMS",3
"MBBS, DNB - Dermatology, Venereology & Leprosy, Diploma in Dermatology, FRGUHS, DVD",3
"MD - Ayurveda Medicine, BAMS",4
"MDS - Periodontology and Oral Implantology, BDS",4
"BDS",3
"MBBS, MRCPS, MRCGP, Post Graduate Diploma in Diabetology (PGDD)",4
"MBBS, MD - General Medicine",4
"BAMS",3
"MBBS, MS - ENT",4
"MBBS, Diploma in Otorhinolaryngology (DLO), DNB - ENT",3
"BAMS, MD - Ayurveda Medicine",4
"BDS",3
"DHMS (Diploma in Homeopathic Medicine and Surgery), MD - Alternate Medicine",4
"Ayurvedic panchkarma, BAMS",3
"MBBS, DNB - Dermatology & Venereology",3
"MD - Homeopathy, PG Diploma In Clinical Cosmetology (PGDCC)",4
"MBBS, DNB",3
"MBBS, MD - Dermatology , Venereology & Leprosy",4
"MBBS, MD - General Medicine, Diploma in Health Administration, LLB",4
"BDS, MDS, Fellowship In Cosmetic Dermatology",4
"BHMS, MD - Homeopathy",4
"MBBS, MD - Dermatology, Fellow in Dermato - Surgery",4
"MBBS, MS - Otorhinolaryngology",4
"BHMS",3
"MBBS, DVD",3
"BHMS",3
"MBBS, Diploma in Otorhinolaryngology (DLO), MD - Community Medicine",4
"BAMS",3
"BDS",3
"BHMS",3
"BDS, MDS - Conservative Dentistry & Endodontics",4
"BHMS",3
"BAMS, MD - Ayurveda Medicine",4
"MBBS, MS - Otorhinolaryngology, DNB - Otorhinolaryngology",4
"MBBS, DDVL",3
"MDS - Prosthodontics, BDS",4
"MBBS, DNB - Dermatology & Venereology, MD - Dermatology, Advance Fellowship in Laser & Dermatosurgery",4
"BAMS",3
"BDS, MDS - Prosthodontics",4
"MBBS, MD - Dermatology, DNB - Dermatology & Venereology",4
"BAMS",3
"MBBS, MD - Dermatology",4
"MBBS",3
"MBBS, DDVL",3
"MBBS",3
"BHMS, MD - Homeopathy",4
"MBBS, MS - Otorhinolaryngology",4
"BDS, MDS - Pedodontics",4
"MDS - Oral & Maxillofacial Surgery, BDS",4
"BDS",3
"MBBS, MD - Dermatology , Venereology & Leprosy",4
"MBBS, Diploma in Orthopaedics, MS - Orthopaedics",4
"BDS, Post Graduate Diploma in Clinical Research (PGDCR)",4
"BHMS, MD - Homeopathy",4
"MBBS, MS - ENT",4
"MBBS, Diploma in Otorhinolaryngology (DLO), MD - Diabetology",4
"MBBS",3
"MBBS, MS - ENT, FICS",4
"BDS",3
"MBBS, MS - ENT",4
"DVD, MBBS",3
"BDS, MDS - Periodontics, Certificate in Aesthetic Medicine",4
"BDS, MDS - Orthodontics",4
"BDS, MDS - Paedodontics And Preventive Dentistry",4
"MBBS, Diploma in Dermatology",3
"MBBS, DDV, DNB, DDVL",3
"MBBS, MD - General Medicine, DNB - General Medicine",4
"BDS, MDS - Prosthodontics",4
"MBBS, DDVL",3
"BAMS",3
"MBBS",3
"MBBS, MD - Internal Medicine",4
"MD - Dermatology , Venereology & Leprosy, MBBS",4
"BDS",3
"MBBS, Post Graduate Diploma in Diabetology (PGDD)",4
"BDS",3
"MBBS, MD - Dermatology",4
"MBBS, MD - (Dermatology & STD)",4
"BAMS, MD - Ayurveda Medicine",4
"BDS, MDS - Paedodontics And Preventive Dentistry",4
"BAMS",3
"MD - Homeopathy, BHMS",4
"MS - ENT, DNB - ENT, Diploma in Otorhinolaryngology (DLO), MBBS",4
"BDS, MDS - Periodontology and Oral Implantology",4
"BDS, MDS - Conservative Dentistry & Endodontics",4
"MBBS, MS - Otorhinolaryngology",4
"MBBS, MD - Dermatology, Fellow of the American Academy of Dermatology (FAAD)",4
"BDS, Certification in Laser Dentistry",3
"BAMS",3
"MBBS, MS - ENT",4
"BDS, MDS - Oral & Maxillofacial Surgery",4
"DNB - Dermatology & Venereology, FCPS Skin & VD",2
"BDS",3
"MBBS, DNB - Internal Medicine",3
"BAMS",3
"BHMS, MD - Homeopathy",4
"MBBS, MS - ENT",4
"BAMS, MD - Ayurveda Medicine",4
"BDS",3
"MBBS, Diploma in Otorhinolaryngology (DLO), DNB - ENT",3
"LCEH",0
